type;name;gnd-id;gnd-url;bemerkungen;gnd-name;lobid-search-url;j-special;j-geburt;j-tod
persName;Giuseppe De Leva;116960078;http://d-nb.info/gnd/116960078;;De Leva, Giuseppe;http://lobid.org/gnd/search?q=Giuseppe+De+Leva;;1821;1895
persName;Paul Lindau;118780034;http://d-nb.info/gnd/118780034;;Lindau, Paul;http://lobid.org/gnd/search?q=Paul+Lindau;;1839;1919
persName;Julius Fröbel;118536303;;;Fröbel, Julius;;;1805;1893
persName;Auguste Lindemann-Frommel;117024465;;;Lindemann-Frommel, Auguste;;;1826;1876
persName;Karl Lindemann-Frommel;119511940;;;Lindemann-Frommel, Karl;http://lobid.org/gnd/search?q=Karl+Lindemann-Frommel;;1819;1891
persName;Manfred Lindemann-Frommel;129692425;http://d-nb.info/gnd/129692425;;Lindemann-Frommel, Manfred;http://lobid.org/gnd/search?q=Manfred+Lindemann-Frommel;;1852;1939
persName;Hermann Lingg;119002248;http://d-nb.info/gnd/119002248;;Lingg, Hermann;http://lobid.org/gnd/search?q=Hermann+Lingg;;1820;1905
persName;Rudolf Lipschitz;11881656X;;;Lipschitz, Rudolf;http://lobid.org/gnd/search?q=Rudolf+Lipschitz;;1832;1903
orgName;Literarisches Centralblatt für Deutschland;4313529-8;;;Literarisches Centralblatt für Deutschland;http://lobid.org/gnd/search?q=Literarisches+Centralblatt+für+Deutschland;;;
persName;Elisabeth Lockburg;117075868;;;Lockburg, Elisabeth;http://lobid.org/gnd/search?q=Elisabeth+Lockburg;;;
persName;Callista Lovatelli;117249653;;;Lovatelli, Callista;http://lobid.org/gnd/search?q=Callista+Lovatelli;;1860;
persName;Tammar Luxoro;129437212;;;Luxoro, Tammar;;;1825;1899
persName;Alfredo d’Andrade;120541734;;;d’Andrade, Alfredo;;;1839;1915
persName;Giovanni Scanzi;1052216994;;;Scanzi, Giovanni;;;1840;1915
persName;Francesco Semino;;;;Semino, Francesco;;;1832;1883
persName;Maurizio Dufour;1231391073;;;Dufour, Maurizio;;;1826;1897
persName;Lazzaro Negrotto Cambiaso;;;;Negrotto Cambiaso, Lazzaro;;;1823;1902
